Reference, Value, Footprint, Datasheet
R101,R,Resistors_SMD:R_0805_HandSoldering,
R102,R,Resistors_SMD:R_0805_HandSoldering,
R104,R,Resistors_SMD:R_0805_HandSoldering,
R107,R,Resistors_SMD:R_0805_HandSoldering,
C101,C,Capacitors_SMD:C_1210_HandSoldering,
C104,C,Capacitors_SMD:C_1210_HandSoldering,
C103,C,Capacitors_SMD:C_1210_HandSoldering,
C102,C,Capacitors_SMD:C_1210_HandSoldering,
R103,0,Resistors_SMD:R_0805_HandSoldering,
R106,0,Resistors_SMD:R_0805_HandSoldering,
R105,0,Resistors_SMD:R_0805_HandSoldering,
P101,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P102,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P103,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
TP101,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
TP102,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
TP103,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Big,
Q101,Q_NPN_EBC,Housings_TO-92:TO-92_Molded_Narrow,
